user_id,date,steps,calories_burned,distance_km,active_minutes,sleep_hours,heart_rate_avg,workout_type,weather_conditions,location,mood
829,2024-12-06T00:00:00Z,14248,1590.32,4.21,605,9.9,146,Yoga,Clear,Other,Neutral
23,2024-03-14T00:00:00Z,23248,3779.04,18.91,1159,11.2,118,None,Rain,Office,Tired
827,2025-08-03T00:00:00Z,16345,3027.13,3.71,126,8.8,67,Walking,Rain,Other,Stressed
213,2025-01-01T00:00:00Z,25026,3746.55,10.53,1245,0.4,95,Swimming,Fog,Office,Happy
886,2025-01-08T00:00:00Z,16061,1766.8,8.84,1165,1.5,118,Gym Workout,Rain,Park,Tired
843,2024-04-01T00:00:00Z,19691,3289.9,17.66,1089,2.4,140,None,Clear,Other,Tired
356,2023-07-07T00:00:00Z,26862,1779.54,15.15,1324,4.7,107,Yoga,Fog,Office,Stressed
679,2025-06-18T00:00:00Z,3394,3081.81,19.7,494,1.2,86,Running,Fog,Office,Happy
262,2024-11-24T00:00:00Z,13961,3081.64,12.79,1135,6.0,86,Swimming,Snow,Park,Stressed
312,2023-06-10T00:00:00Z,29990,3510.82,6.03,177,6.0,118,Running,Rain,Park,Neutral
193,2024-12-13T00:00:00Z,15451,2734.2,2.84,1175,11.7,90,Swimming,Snow,Home,Tired
346,2023-07-05T00:00:00Z,3766,2975.21,2.43,1068,7.8,153,Swimming,Clear,Gym,Tired
1,2024-06-29T00:00:00Z,18770,3373.52,0.47,840,10.6,163,Swimming,Rain,Other,Happy
832,2025-08-03T00:00:00Z,27551,3764.48,5.75,48,10.6,176,Cycling,Snow,Home,Neutral
706,2024-02-28T00:00:00Z,24370,2907.86,13.52,895,2.7,124,Yoga,Rain,Home,Happy
553,2023-12-02T00:00:00Z,15889,3552.7,2.98,585,6.2,138,Cycling,Snow,Gym,Neutral
367,2024-11-10T00:00:00Z,14472,1965.9,12.89,718,1.2,171,Swimming,Rain,Office,Happy
49,2023-09-30T00:00:00Z,14271,2699.13,1.8,1392,0.6,63,Yoga,Snow,Office,Happy
652,2024-04-29T00:00:00Z,4325,1503.39,8.16,1377,3.8,119,None,Rain,Park,Tired
358,2023-09-09T00:00:00Z,6370,1744.7,0.52,1047,2.2,142,None,Rain,Gym,Happy
783,2025-05-29T00:00:00Z,16386,3658.21,1.89,43,1.8,77,Running,Clear,Park,Stressed
391,2023-07-16T00:00:00Z,24864,3507.39,19.37,954,11.7,99,Yoga,Fog,Gym,Stressed
841,2025-01-11T00:00:00Z,13302,2955.66,1.61,756,6.8,68,None,Fog,Home,Neutral
